序号,标题,作者,文章类型,年份,期数,引用格式
309,一部研究新加坡语言及华语教学的力作——评吴英成的《汉语国际传播——新加坡视角》,赵永新,语言接触与语言变异,2011,第1期,"赵永新.一部研究新加坡语言及华语教学的力作——评吴英成的《汉语国际传播——新加坡视角》[J].澳门语言学刊,2011年第1期."
310,王力先生与汉语方言研究,张振兴,语言接触与语言变异,2011,第2期,"张振兴.王力先生与汉语方言研究[J].澳门语言学刊,2011年第2期."
311,“Cantonese Made Easy”的学术价值,蒋绍愚,语言接触与语言变异,2011,第2期,"蒋绍愚.“Cantonese Made Easy”的学术价值[J].澳门语言学刊,2011年第2期."
312,从澳门地区及街道名称的缩略现象看当地语言特点,汤翠兰,语言接触与语言变异,2012,第2期,"汤翠兰.从澳门地区及街道名称的缩略现象看当地语言特点[J].澳门语言学刊,2012年第2期."
313,回民话、汉民话、东干话比较研究刍议——为程祥徽学长八秩寿而作,侯精一,语言接触与语言变异,2013,第1期,"侯精一.回民话、汉民话、东干话比较研究刍议——为程祥徽学长八秩寿而作[J].澳门语言学刊,2013年第1期."
314,中外身体语言在澳门的融汇与传播,张卓夫,语言接触与语言变异,2013,第2期,"张卓夫.中外身体语言在澳门的融汇与传播[J].澳门语言学刊,2013年第2期."
315,惠河土话属客话说站得住吗,刘叔新,语言接触与语言变异,2013,第2期,"刘叔新.惠河土话属客话说站得住吗[J].澳门语言学刊,2013年第2期."
316,澳门大学生语言态度研究,阎喜,语言接触与语言变异,2014,第1期,"阎喜.澳门大学生语言态度研究[J].澳门语言学刊,2014年第1期."
317,从“换级”现象看英汉差异,艾溢芳,语言接触与语言变异,2015,第1期,"艾溢芳.从“换级”现象看英汉差异[J].澳门语言学刊,2015年第1期."
318,澳门地方普通话若干语法特点,周荐,语言接触与语言变异,2015,第1期,"周荐.澳门地方普通话若干语法特点[J].澳门语言学刊,2015年第1期."
319,澳门中文的语序问题考察,雷曦,语言接触与语言变异,2015,第1期,"雷曦.澳门中文的语序问题考察[J].澳门语言学刊,2015年第1期."
320,接触下的变异——天祝汉语声调声学分析与理论探讨,冉启斌、田弘瑶佳、尹怡萍、付瑜,语言接触与语言变异,2015,第1期,"冉启斌、田弘瑶佳、尹怡萍、付瑜.接触下的变异——天祝汉语声调声学分析与理论探讨[J].澳门语言学刊,2015年第1期."
321,澳门语言景观中语言使用的社会影响因素及语言特色,张媛媛,语言接触与语言变异,2016,第1期,"张媛媛.澳门语言景观中语言使用的社会影响因素及语言特色[J].澳门语言学刊,2016年第1期."
322,《英吉利语略》语言特点研究,崔彦,语言接触与语言变异,2017,第1期,"崔彦.《英吉利语略》语言特点研究[J].澳门语言学刊,2017年第1期."
323,语言接触对汉语构词法的影响,张文,语言接触与语言变异,2017,第1期,"张文.语言接触对汉语构词法的影响[J].澳门语言学刊,2017年第1期."
324,都市商业景观中的外文标牌对语言规划的挑战——以北京市九大购物中心的语言标牌调查为例,邢欣、丁嵩山、王连盛、叶苏嘉、王丽芳,语言接触与语言变异,2017,第1期,"邢欣、丁嵩山、王连盛、叶苏嘉、王丽芳.都市商业景观中的外文标牌对语言规划的挑战——以北京市九大购物中心的语言标牌调查为例[J].澳门语言学刊,2017年第1期."
325,中外方言研究现状的可视化比较分析——基于Citespace的文献量化知识图谱（2001-2016）,余乐,语言接触与语言变异,2018,第1期,"余乐.中外方言研究现状的可视化比较分析——基于Citespace的文献量化知识图谱（2001-2016）[J].澳门语言学刊,2018年第1期."
326,Japanese Speakers’ Perception of English /?/ and /l/ in Different Word Positions,Hua Lin & Kassidy Smids-Dyk,语言接触与语言变异,2018,第2期,"Hua Lin & Kassidy Smids-Dyk.Japanese Speakers’ Perception of English /?/ and /l/ in Different Word Positions[J].澳门语言学刊,2018年第2期."
327,澳门语言忠诚度研究,温涵、郭睦羽,语言接触与语言变异,2019,第1期,"温涵、郭睦羽.澳门语言忠诚度研究[J].澳门语言学刊,2019年第1期."
328,澳门粤语单字调去声的社会变异研究,张延勇,语言接触与语言变异,2019,第2期,"张延勇.澳门粤语单字调去声的社会变异研究[J].澳门语言学刊,2019年第2期."
329,试论纳西语方言分化的年代——语言年代学与作物栽培史的证据,李子鹤,语言接触与语言变异,2019,第2期,"李子鹤.试论纳西语方言分化的年代——语言年代学与作物栽培史的证据[J].澳门语言学刊,2019年第2期."
330,在方言和语域的交汇处——江永女书探赜,王勇、秦思,语言接触与语言变异,2020,第1期,"王勇、秦思.在方言和语域的交汇处——江永女书探赜[J].澳门语言学刊,2020年第1期."
331,北京密云古北口镇的“露八分”探析,范慧琴,语言接触与语言变异,2021,第1期,"范慧琴.北京密云古北口镇的“露八分”探析[J].澳门语言学刊,2021年第1期."
332,《语言习得和语言接触中的语序变化》评述,倪广妍,语言接触与语言变异,2021,第2期,"倪广妍.《语言习得和语言接触中的语序变化》评述[J].澳门语言学刊,2021年第2期."
333,汉英诗歌语序变异类型的比较研究,李莹、周毕吉,语言接触与语言变异,2022,第1期,"李莹、周毕吉.汉英诗歌语序变异类型的比较研究[J].澳门语言学刊,2022年第1期."
334,方言测量学方法的稳定性检验,黄河、宋华强,语言接触与语言变异,2022,第2期,"黄河、宋华强.方言测量学方法的稳定性检验[J].澳门语言学刊,2022年第2期."
335,语言类型学对谈,吴桐、陈榕,语言接触与语言变异,2023,第1期,"吴桐、陈榕.语言类型学对谈[J].澳门语言学刊,2023年第1期."
336,佛经翻译传意史中的一个障碍之破除,谭世宝,汉语史,1996,总第2/3期,"谭世宝.佛经翻译传意史中的一个障碍之破除[J].澳门语言学刊,1996年总第2/3期."
337,广州话与汉语史研究,蒋绍愚,汉语史,1997,总第4/5期,"蒋绍愚.广州话与汉语史研究[J].澳门语言学刊,1997年总第4/5期."
338,从宋代福建诗人用韵看历史上吴语对闽语的影响,刘晚南,汉语史,1998,总第6/7期,"刘晚南.从宋代福建诗人用韵看历史上吴语对闽语的影响[J].澳门语言学刊,1998年总第6/7期."
339,古汉语标记句式浅论,刘晓南,汉语史,2000,总第10/11期,"刘晓南.古汉语标记句式浅论[J].澳门语言学刊,2000年总第10/11期."
340,关于古汉语无标志被动句的几个问题,刘光明,汉语史,2001,总第14/15期,"刘光明.关于古汉语无标志被动句的几个问题[J].澳门语言学刊,2001年总第14/15期."
341,汉魏六朝女性赋述论,靳青万,汉语史,2002,总第16/17期,"靳青万.汉魏六朝女性赋述论[J].澳门语言学刊,2002年总第16/17期."
342,《儒林外史》语言“异质”说质疑,汪化云,汉语史,2002,总第16/17期,"汪化云.《儒林外史》语言“异质”说质疑[J].澳门语言学刊,2002年总第16/17期."
343,古代汉语中的“者”、“所”与汉语学习,董月凯,汉语史,2003,总第24/25期,"董月凯.古代汉语中的“者”、“所”与汉语学习[J].澳门语言学刊,2003年总第24/25期."
344,试论语言接触与汉语文白转型,徐时仪,汉语史,2008,总第31/32期,"徐时仪.试论语言接触与汉语文白转型[J].澳门语言学刊,2008年总第31/32期."
345,姓名文化纵横谈,杨琳,汉语史,2008,总第31/32期,"杨琳.姓名文化纵横谈[J].澳门语言学刊,2008年总第31/32期."
346,近代汉语否定句中表达主观性的“再”,董正存,汉语史,2010,第2期,"董正存.近代汉语否定句中表达主观性的“再”[J].澳门语言学刊,2010年第2期."
347,“X 始得”句式的历史考察,祁从舵,汉语史,2010,第2期,"祁从舵.“X 始得”句式的历史考察[J].澳门语言学刊,2010年第2期."
348,“互文”术语始见再考,刘斐,汉语史,2012,第1期,"刘斐.“互文”术语始见再考[J].澳门语言学刊,2012年第1期."
349,“别”的音义关系问题,万群,汉语史,2012,第2期,"万群.“别”的音义关系问题[J].澳门语言学刊,2012年第2期."
350,“风骚”源流考,李洁,汉语史,2013,第2期,"李洁.“风骚”源流考[J].澳门语言学刊,2013年第2期."
351,汉语语法史断代专题研究新成果——评傅惠钧《明清汉语疑问句研究》,苏颖、杨荣祥,汉语史,2013,第2期,"苏颖、杨荣祥.汉语语法史断代专题研究新成果——评傅惠钧《明清汉语疑问句研究》[J].澳门语言学刊,2013年第2期."
352,清代来华传教士马若瑟《汉语箚记》中的标记理论,刘亚辉,汉语史,2014,第1期,"刘亚辉.清代来华传教士马若瑟《汉语箚记》中的标记理论[J].澳门语言学刊,2014年第1期."
353,“皮草”与“布草”考源,杨琳,汉语史,2014,第1期,"杨琳.“皮草”与“布草”考源[J].澳门语言学刊,2014年第1期."
354,“肃”之“寒”意考辨,杨炎华、覃业位,汉语史,2014,第1期,"杨炎华、覃业位.“肃”之“寒”意考辨[J].澳门语言学刊,2014年第1期."
355,论元明时期汉语允让使役的产生,刘华丽、张美兰,汉语史,2015,第1期,"刘华丽、张美兰.论元明时期汉语允让使役的产生[J].澳门语言学刊,2015年第1期."
356,汉语双及物构式基本配置问题历时研究,张文,汉语史,2016,第1期,"张文.汉语双及物构式基本配置问题历时研究[J].澳门语言学刊,2016年第1期."
357,辽代的语言状况,傅林,汉语史,2016,第2期,"傅林.辽代的语言状况[J].澳门语言学刊,2016年第2期."
358,上古汉语谦敬副词的性质、范围和分类,谷峰,汉语史,2017,第1期,"谷峰.上古汉语谦敬副词的性质、范围和分类[J].澳门语言学刊,2017年第1期."
359,近代汉语中语法标记词“把”的表义范畴研究,刘海波,汉语史,2017,第2期,"刘海波.近代汉语中语法标记词“把”的表义范畴研究[J].澳门语言学刊,2017年第2期."
360,“伍员音运”说考辨,金琪然,汉语史,2018,第1期,"金琪然.“伍员音运”说考辨[J].澳门语言学刊,2018年第1期."
361,上古汉语“WH-+其+VP”中“其”的性质,谷峰,汉语史,2018,第2期,"谷峰.上古汉语“WH-+其+VP”中“其”的性质[J].澳门语言学刊,2018年第2期."
362,上古汉语标句词与“谓头”理论,陈章、杨晶晶,汉语史,2019,第1期,"陈章、杨晶晶.上古汉语标句词与“谓头”理论[J].澳门语言学刊,2019年第1期."
363,从《经典释文》看“惮”的音义关系,齐晓燕,汉语史,2019,第1期,"齐晓燕.从《经典释文》看“惮”的音义关系[J].澳门语言学刊,2019年第1期."
364,近代汉语使役句句法语义特点研究——以“着”为例,刘海波,汉语史,2019,第2期,"刘海波.近代汉语使役句句法语义特点研究——以“着”为例[J].澳门语言学刊,2019年第2期."
365,中国近代史上传教士的语言学研究,董方峰、杨洋,汉语史,2020,第1期,"董方峰、杨洋.中国近代史上传教士的语言学研究[J].澳门语言学刊,2020年第1期."
366,敦煌古藏文的施格分裂,邵明园,汉语史,2020,第2期,"邵明园.敦煌古藏文的施格分裂[J].澳门语言学刊,2020年第2期."
367,越南流傅版《明心宝艳》的研究价值,侯兴泉,汉语史,2021,第2期,"侯兴泉.越南流傅版《明心宝艳》的研究价值[J].澳门语言学刊,2021年第2期."
368,作为明清小说叙事套语的话题终结标记“不提”研究,卢惠惠,汉语史,2022,第1期,"卢惠惠.作为明清小说叙事套语的话题终结标记“不提”研究[J].澳门语言学刊,2022年第1期."
369,唐诗中的“奈X 何”构式,冯广艺,汉语史,2022,第2期,"冯广艺.唐诗中的“奈X 何”构式[J].澳门语言学刊,2022年第2期."
370,论钞本韵书《音韵杂抄》所记录的一种近代北方官话方言,王思齐,汉语史,2022,第2期,"王思齐.论钞本韵书《音韵杂抄》所记录的一种近代北方官话方言[J].澳门语言学刊,2022年第2期."
371,主观极量副词“绝顶”的历时演化,王璐、万莹,汉语史,2023,第1期,"王璐、万莹.主观极量副词“绝顶”的历时演化[J].澳门语言学刊,2023年第1期."
372,历时语体语法视角下的粤调曲艺唱本比较句考察,朱嫣红、李汶泺,汉语史,2023,第2期,"朱嫣红、李汶泺.历时语体语法视角下的粤调曲艺唱本比较句考察[J].澳门语言学刊,2023年第2期."
373,早期北方官话文献中的“头”缀及其历时演变,郭利霞、孙佳乐,汉语史,2023,第2期,"郭利霞、孙佳乐.早期北方官话文献中的“头”缀及其历时演变[J].澳门语言学刊,2023年第2期."
374,简论汉字字形发展的趋势,陈丽萍,文字学,2003,总第20/21期,"陈丽萍.简论汉字字形发展的趋势[J].澳门语言学刊,2003年总第20/21期."
375,浅论与动物有关的汉字的文化蕴含,高军青,文字学,2003,总第20/21期,"高军青.浅论与动物有关的汉字的文化蕴含[J].澳门语言学刊,2003年总第20/21期."
376,说左右，道四方,思放,文字学,2011,第1期,"思放.说左右，道四方[J].澳门语言学刊,2011年第1期."
377,人类文字的鸟瞰,周有光,文字学,2014,第1期,"周有光.人类文字的鸟瞰[J].澳门语言学刊,2014年第1期."
378,粤方言字的正字和正码问题,侯兴泉、吴南开,文字学,2016,第1期,"侯兴泉、吴南开.粤方言字的正字和正码问题[J].澳门语言学刊,2016年第1期."
379,现代汉字直观构形体系的构建,侯冬梅,文字学,2017,第1期,"侯冬梅.现代汉字直观构形体系的构建[J].澳门语言学刊,2017年第1期."
380,章太炎与杨树达的语源学研究之比较,卞仁海,文字学,2018,第1期,"卞仁海.章太炎与杨树达的语源学研究之比较[J].澳门语言学刊,2018年第1期."
381,读北大简《妄稽》札记,罗涛,文字学,2018,第1期,"罗涛.读北大简《妄稽》札记[J].澳门语言学刊,2018年第1期."
382,汉字文化圈与形译,邓应烈,文字学,2019,第2期,"邓应烈.汉字文化圈与形译[J].澳门语言学刊,2019年第2期."
383,成年人学话要有理论指导——在澳门“普通话教学研讨会”上的发言,程祥徽,应用语言学,1995,总第1期,"程祥徽.成年人学话要有理论指导——在澳门“普通话教学研讨会”上的发言[J].澳门语言学刊,1995年总第1期."
384,澳门传意工作者的培训,郑炜明,应用语言学,1996,总第2/3期,"郑炜明.澳门传意工作者的培训[J].澳门语言学刊,1996年总第2/3期."
385,澳门的双语环境与双语培训,张卓夫,应用语言学,1996,总第2/3期,"张卓夫.澳门的双语环境与双语培训[J].澳门语言学刊,1996年总第2/3期."
386,澳门文化与多语制,魏美昌,应用语言学,1997,总第4/5期,"魏美昌.澳门文化与多语制[J].澳门语言学刊,1997年总第4/5期."
387,共同语在澳门的历史性转变,何斌,应用语言学,1997,总第4/5期,"何斌.共同语在澳门的历史性转变[J].澳门语言学刊,1997年总第4/5期."
388,方言与共同语的并存及其前景,胡培周,应用语言学,1997,总第4/5期,"胡培周.方言与共同语的并存及其前景[J].澳门语言学刊,1997年总第4/5期."
389,试谈未来澳门特区语言,余妙丽,应用语言学,1997,总第4/5期,"余妙丽.试谈未来澳门特区语言[J].澳门语言学刊,1997年总第4/5期."
390,方言和共同语在传媒中的使用,张卓夫,应用语言学,1997,总第4/5期,"张卓夫.方言和共同语在传媒中的使用[J].澳门语言学刊,1997年总第4/5期."
391,汉语方言与共同语的双向吸收,邓骏捷,应用语言学,1997,总第4/5期,"邓骏捷.汉语方言与共同语的双向吸收[J].澳门语言学刊,1997年总第4/5期."
392,语言教学要善用“对比”方法,黄翊,应用语言学,1997,总第4/5期,"黄翊.语言教学要善用“对比”方法[J].澳门语言学刊,1997年总第4/5期."
393,澳门普通话教学刍议,邵朝阳,应用语言学,1997,总第4/5期,"邵朝阳.澳门普通话教学刍议[J].澳门语言学刊,1997年总第4/5期."
394,海外语言学研究动态与研究方法概论（中英文）,冯润华,应用语言学,1998,总第6/7期,"冯润华.海外语言学研究动态与研究方法概论（中英文）[J].澳门语言学刊,1998年总第6/7期."
395,略论教师的语言修养,濮侃,应用语言学,1998,总第6/7期,"濮侃.略论教师的语言修养[J].澳门语言学刊,1998年总第6/7期."
396,澳门之推普策略种种,程祥徽,应用语言学,1998,总第6/7期,"程祥徽.澳门之推普策略种种[J].澳门语言学刊,1998年总第6/7期."
397,澳门回归与澳门语文的前景,程祥徽,应用语言学,1999,总第8/9期,"程祥徽.澳门回归与澳门语文的前景[J].澳门语言学刊,1999年总第8/9期."
398,语文规划研究述评,丁金国,应用语言学,1999,总第8/9期,"丁金国.语文规划研究述评[J].澳门语言学刊,1999年总第8/9期."
399,语言规划与语言政策,冯润华,应用语言学,1999,总第8/9期,"冯润华.语言规划与语言政策[J].澳门语言学刊,1999年总第8/9期."
400,试论澳门汉语教学之发展,赵永新,应用语言学,1999,总第8/9期,"赵永新.试论澳门汉语教学之发展[J].澳门语言学刊,1999年总第8/9期."
401,澳门的语用路向与语文规划,黄翊,应用语言学,1999,总第8/9期,"黄翊.澳门的语用路向与语文规划[J].澳门语言学刊,1999年总第8/9期."
402,音节繁多冗长纠缠——谈澳门的音译地名,老志钧,应用语言学,1999,总第8/9期,"老志钧.音节繁多冗长纠缠——谈澳门的音译地名[J].澳门语言学刊,1999年总第8/9期."
403,建议使用“篇末号”,邓景滨,应用语言学,1999,总第8/9期,"邓景滨.建议使用“篇末号”[J].澳门语言学刊,1999年总第8/9期."
404,对汉字粤读、正写与用词规范刍议,龙裕琛,应用语言学,1999,总第8/9期,"龙裕琛.对汉字粤读、正写与用词规范刍议[J].澳门语言学刊,1999年总第8/9期."
405,再论语言规范与语言应用,詹伯慧,应用语言学,2000,总第10/11期,"詹伯慧.再论语言规范与语言应用[J].澳门语言学刊,2000年总第10/11期."
406,语言规划的回顾与前瞻——兼谈澳门语言学会对语言规划工作的贡献,谭汝为,应用语言学,2000,总第10/11期,"谭汝为.语言规划的回顾与前瞻——兼谈澳门语言学会对语言规划工作的贡献[J].澳门语言学刊,2000年总第10/11期."
407,语言规划与澳门的社会语言调查,王培光,应用语言学,2000,总第10/11期,"王培光.语言规划与澳门的社会语言调查[J].澳门语言学刊,2000年总第10/11期."
408,试论澳门特区语文素质教育,彭嘉强,应用语言学,2000,总第10/11期,"彭嘉强.试论澳门特区语文素质教育[J].澳门语言学刊,2000年总第10/11期."
409,谈谈学习普通话与表达规范的问题,方小燕,应用语言学,2000,总第10/11期,"方小燕.谈谈学习普通话与表达规范的问题[J].澳门语言学刊,2000年总第10/11期."
410,澳门中文公文的回归之路,程祥徽,应用语言学,2001,总第14/15期,"程祥徽.澳门中文公文的回归之路[J].澳门语言学刊,2001年总第14/15期."
411,澳门中文行政公文的撰写准则建议,龙裕琛,应用语言学,2001,总第14/15期,"龙裕琛.澳门中文行政公文的撰写准则建议[J].澳门语言学刊,2001年总第14/15期."
412,试谈语言面貌,黄翊,应用语言学,2001,总第14/15期,"黄翊.试谈语言面貌[J].澳门语言学刊,2001年总第14/15期."
413,“方言普化”与“粤字优化”,邓景滨,应用语言学,2001,总第14/15期,"邓景滨.“方言普化”与“粤字优化”[J].澳门语言学刊,2001年总第14/15期."
414,语调教学二题,孙琳,应用语言学,2001,总第14/15期,"孙琳.语调教学二题[J].澳门语言学刊,2001年总第14/15期."
415,如何教好现代汉语音节,李华,应用语言学,2002,总第16/17期,"李华.如何教好现代汉语音节[J].澳门语言学刊,2002年总第16/17期."
416,泰语和汉语的语音对比——兼分析泰国人学习汉语的语言偏误,【泰】李创鑫,应用语言学,2002,总第16/17期,"【泰】李创鑫.泰语和汉语的语音对比——兼分析泰国人学习汉语的语言偏误[J].澳门语言学刊,2002年总第16/17期."
417,普通话沉浸学习——与当地社会融合的互动学习,何国祥,应用语言学,2002,总第18/19期,"何国祥.普通话沉浸学习——与当地社会融合的互动学习[J].澳门语言学刊,2002年总第18/19期."
418,香港普通话水平测试面面观,田小琳,应用语言学,2002,总第18/19期,"田小琳.香港普通话水平测试面面观[J].澳门语言学刊,2002年总第18/19期."
419,汉语测试与语言心理学,刘镰力,应用语言学,2002,总第18/19期,"刘镰力.汉语测试与语言心理学[J].澳门语言学刊,2002年总第18/19期."
420,影响普通话水平测试的心理因素及其分析,苏丹、赵宏弢,应用语言学,2002,总第18/19期,"苏丹、赵宏弢.影响普通话水平测试的心理因素及其分析[J].澳门语言学刊,2002年总第18/19期."
421,普通话水平测试之评分者信度,杨志明、张雷,应用语言学,2002,总第18/19期,"杨志明、张雷.普通话水平测试之评分者信度[J].澳门语言学刊,2002年总第18/19期."
422,香港地区普通话水平测试的若干问题,李娥珍,应用语言学,2002,总第18/19期,"李娥珍.香港地区普通话水平测试的若干问题[J].澳门语言学刊,2002年总第18/19期."
423,方音定势对普通话水平测试评分的负面影响,李汛,应用语言学,2002,总第18/19期,"李汛.方音定势对普通话水平测试评分的负面影响[J].澳门语言学刊,2002年总第18/19期."
424,普通话韵律的声学特征及正误辨析的原则方法,王渝光、陈典红,应用语言学,2002,总第18/19期,"王渝光、陈典红.普通话韵律的声学特征及正误辨析的原则方法[J].澳门语言学刊,2002年总第18/19期."
425,从字音走向会话——论普通话水平培训测试的两个重点,黄翊,应用语言学,2002,总第18/19期,"黄翊.从字音走向会话——论普通话水平培训测试的两个重点[J].澳门语言学刊,2002年总第18/19期."
426,澳门地区普通话（汉语）教学特点初探,许亦峰,应用语言学,2002,总第18/19期,"许亦峰.澳门地区普通话（汉语）教学特点初探[J].澳门语言学刊,2002年总第18/19期."
427,普通话教学探讨,张进萍,应用语言学,2002,总第18/19期,"张进萍.普通话教学探讨[J].澳门语言学刊,2002年总第18/19期."
428,教授葡国学生学习中文的一些体会,邓思平,应用语言学,2002,总第18/19期,"邓思平.教授葡国学生学习中文的一些体会[J].澳门语言学刊,2002年总第18/19期."
429,新世纪的澳门语言策略,程祥徽,应用语言学,2002,总第18/19期,"程祥徽.新世纪的澳门语言策略[J].澳门语言学刊,2002年总第18/19期."
430,应用语言学研究的回顾与前瞻,谭汝为,应用语言学,2002,总第18/19期,"谭汝为.应用语言学研究的回顾与前瞻[J].澳门语言学刊,2002年总第18/19期."
431,汉语社会中有汉字知识缺陷社群的认知能力与方式调查,易洪川、冯丽萍,应用语言学,2003,总第20/21期,"易洪川、冯丽萍.汉语社会中有汉字知识缺陷社群的认知能力与方式调查[J].澳门语言学刊,2003年总第20/21期."
432,汉字编码浅析,董月凯,应用语言学,2003,总第20/21期,"董月凯.汉字编码浅析[J].澳门语言学刊,2003年总第20/21期."
433,澳门博彩语中的超语言形态扭曲,邵朝阳,应用语言学,2003,总第20/21期,"邵朝阳.澳门博彩语中的超语言形态扭曲[J].澳门语言学刊,2003年总第20/21期."
434,普通话水平测试研究的现状及构想,王晖,应用语言学,2003,总第20/21期,"王晖.普通话水平测试研究的现状及构想[J].澳门语言学刊,2003年总第20/21期."
435,提倡用普通话教中国语文,黄翊,应用语言学,2003,总第20/21期,"黄翊.提倡用普通话教中国语文[J].澳门语言学刊,2003年总第20/21期."
436,论用语的规范问题——《语文研究论集》读后,郑远汉,应用语言学,2003,总第22/23期,"郑远汉.论用语的规范问题——《语文研究论集》读后[J].澳门语言学刊,2003年总第22/23期."
437,语音面貌——粤方言区普通话水平测试的核心,田小琳,应用语言学,2003,总第22/23期,"田小琳.语音面貌——粤方言区普通话水平测试的核心[J].澳门语言学刊,2003年总第22/23期."
438,《现代汉语》《普通话》在语音教学中的对比,黄翊,应用语言学,2003,总第22/23期,"黄翊.《现代汉语》《普通话》在语音教学中的对比[J].澳门语言学刊,2003年总第22/23期."
439,谈人名用字规范的必要性和可行性,王宁,应用语言学,2003,总第24/25期,"王宁.谈人名用字规范的必要性和可行性[J].澳门语言学刊,2003年总第24/25期."
440,编辑语言学论略,郝荣斋,应用语言学,2003,总第24/25期,"郝荣斋.编辑语言学论略[J].澳门语言学刊,2003年总第24/25期."
441,关于《规范汉字表》的研制,王铁琨,应用语言学,2004,总第26期,"王铁琨.关于《规范汉字表》的研制[J].澳门语言学刊,2004年总第26期."
442,雨岸四地汉字系统一体化的主要障碍及其出路,张群显,应用语言学,2004,总第26期,"张群显.雨岸四地汉字系统一体化的主要障碍及其出路[J].澳门语言学刊,2004年总第26期."
443,汉语规范化的范围、根据、操作以及学科属性,王卫兵,应用语言学,2004,总第26期,"王卫兵.汉语规范化的范围、根据、操作以及学科属性[J].澳门语言学刊,2004年总第26期."
444,港澳用字,程祥徽,应用语言学,2004,总第26期,"程祥徽.港澳用字[J].澳门语言学刊,2004年总第26期."
445,伟大的语言呼唤严谨的语言学研究——答何南林,David Moser（莫大伟）,应用语言学,2004,总第27 期,"David Moser（莫大伟）.伟大的语言呼唤严谨的语言学研究——答何南林[J].澳门语言学刊,2004年总第27 期."
446,两岸四地的语言与语言规划,张振兴,应用语言学,2008,总第31/32 期,"张振兴.两岸四地的语言与语言规划[J].澳门语言学刊,2008年总第31/32 期."
447,关于澳门语言规划的思考,黄翊,应用语言学,2008,总第31/32 期,"黄翊.关于澳门语言规划的思考[J].澳门语言学刊,2008年总第31/32 期."
448,香港多元语言文化现象及语言文字规范化问题,田小琳,应用语言学,2008,总第31/32 期,"田小琳.香港多元语言文化现象及语言文字规范化问题[J].澳门语言学刊,2008年总第31/32 期."
449,回归后香港的普通话推广和使用状况,袁舫、王辉,应用语言学,2008,总第31/32 期,"袁舫、王辉.回归后香港的普通话推广和使用状况[J].澳门语言学刊,2008年总第31/32 期."
450,普通话语音教学与测试中的若干问题,孙海娜,应用语言学,2008,总第31/32 期,"孙海娜.普通话语音教学与测试中的若干问题[J].澳门语言学刊,2008年总第31/32 期."
451,辞书编纂现代化的新理念——人机界面工具使用的智能发挥,张志毅,应用语言学,2008,总第31/32 期,"张志毅.辞书编纂现代化的新理念——人机界面工具使用的智能发挥[J].澳门语言学刊,2008年总第31/32 期."
452,由“英明领袖”的“二简”所想到的,尉迟若水,应用语言学,2008,总第31/32 期,"尉迟若水.由“英明领袖”的“二简”所想到的[J].澳门语言学刊,2008年总第31/32 期."
453,澳门人文社会科学研究丛书《语言翻译卷》序,程祥徽,应用语言学,2008,总第31/32 期,"程祥徽.澳门人文社会科学研究丛书《语言翻译卷》序[J].澳门语言学刊,2008年总第31/32 期."
454,学习和研究应用语言学历史的意义和方法,于根元,应用语言学,2008,总第31/32 期,"于根元.学习和研究应用语言学历史的意义和方法[J].澳门语言学刊,2008年总第31/32 期."
455,语言交汇处巧绘丰收图——《语言翻译卷》读后,周荐,应用语言学,2009,第1期,"周荐.语言交汇处巧绘丰收图——《语言翻译卷》读后[J].澳门语言学刊,2009年第1期."
456,澳门普通话水平测试（PSC）十年,陈茜,应用语言学,2009,第1期,"陈茜.澳门普通话水平测试（PSC）十年[J].澳门语言学刊,2009年第1期."
457,语言资源观与语言应用研究,王世凯,应用语言学,2009,第1期,"王世凯.语言资源观与语言应用研究[J].澳门语言学刊,2009年第1期."
458,两岸语言政策与汉语的国际传播,张振兴,应用语言学,2009,第2期,"张振兴.两岸语言政策与汉语的国际传播[J].澳门语言学刊,2009年第2期."
459,关于汉外词汇教学的单位,红粉芳惠,应用语言学,2009,第2期,"红粉芳惠.关于汉外词汇教学的单位[J].澳门语言学刊,2009年第2期."
460,从用字统计列表看语音标准问题,朱丽红,应用语言学,2009,第2期,"朱丽红.从用字统计列表看语音标准问题[J].澳门语言学刊,2009年第2期."
461,汉语方言需要面对濒危问题,张振兴,应用语言学,2010,第2期,"张振兴.汉语方言需要面对濒危问题[J].澳门语言学刊,2010年第2期."
462,汉语数词英译的文化视角分析——以《道德经》为例,王玉红,应用语言学,2010,第2期,"王玉红.汉语数词英译的文化视角分析——以《道德经》为例[J].澳门语言学刊,2010年第2期."
463,现行汉字优化浅论——从《通用规范汉字表》收录的6个繁体字谈起,董月凯,应用语言学,2010,第2期,"董月凯.现行汉字优化浅论——从《通用规范汉字表》收录的6个繁体字谈起[J].澳门语言学刊,2010年第2期."
464,利用汉语拼音方法学英语——推荐中国人学英语的一种新方法,程祥徽,应用语言学,2010,第2期,"程祥徽.利用汉语拼音方法学英语——推荐中国人学英语的一种新方法[J].澳门语言学刊,2010年第2期."
465,汉语应用文研究的新起点——《全球视野下的汉语应用文研究》评介,李静,应用语言学,2011,第1期,"李静.汉语应用文研究的新起点——《全球视野下的汉语应用文研究》评介[J].澳门语言学刊,2011年第1期."
466,对外汉语教学基础阶段复练课教学模式的实证研究,陈默、何平,应用语言学,2011,第2期,"陈默、何平.对外汉语教学基础阶段复练课教学模式的实证研究[J].澳门语言学刊,2011年第2期."
